Name	DisplayName	HardAttack	SoftAttack	Hitpoints	Hardness	Echelon	Accuracy	Evasion	FrontLength	Range	BreakthroughMult	TargetChance0	TargetChance1	TargetChance2	BuildCostRecruits	BuildCostIndustrialPower	MaintainCostMilitaryCap
Rifle1	Musket Infantry	1	10	100	0	0	0.1	0.1	1	0	1	1	0.5	0.25	1	1	1
Rifle2	Breechloader Infantry	1	15	100	0	0	0.15	0.1	1	0	1	1	0.5	0.25	1	2	1
Rifle3	Bolt Action Infantry	3	25	100	0	0	0.25	0.15	1	0	1.25	1	0.5	0.25	1	3	1
Rifle4	Semi Auto Infantry	5	40	100	0	0	0.3	0.2	1	0	1.5	1	0.5	0.25	1	5	1
Rifle5	Assault Infantry	7.5	60	100	0	0	0.3	0.3	1	0	2	1	0.5	0.25	1	8	1
Artillery1	Cannon	10	25	50	0	1	0.1	0.025	2	1	0.25	1	1	0.25	2	5	3
Artillery2	Field Gun	25	50	75	0.2	1	0.25	0.025	2	1	0.35	1	1	0.25	2	15	3
Artillery3	Field Howitzer	35	65	75	0.2	1	0.35	0.05	2	1	0.5	1	1	0.25	2	25	3
MachineGun1	Gatling Gun	1	25	25	0	0	0.1	0.025	2	0	0.25	1	0.5	0.25	2	5	2
MachineGun2	Maxim Gun	3	50	50	0	0	0.2	0.1	2	0	0.5	1	0.5	0.25	2	7.5	2
MachineGun3	General Machinegun	3	65	50	0	0	0.3	0.15	2	0	1	1	0.5	0.25	2	8.5	2
MachineGun4	Squad Machinegun	3	75	50	0	0	0.1	0.2	2	0	1.25	1	0.5	0.25	2	10	2
